user_id,book_id_list
28631,"975284,504247,1702508,4341919,2444514,840500,2286120,2180196,2391765,2214811,2458413,2600001,272375,722880,2407015,2525634,2588011,122479,434096"
28651,"2079190,2550423,1353512,671011,2186305,6892,306238,170357,34134,2424516,420807,2592020,828221,433856,8467358,709075,2364305,998313,1214828,2178756"
29221,"1966628,2435077,2463430,198057,445415,1725433,316511,570428,2281606,2527684,3758299,2551767,2248720,2988373,509690,2016553,2167214,2236326,2419989,3108046"
29371,"2476202,2403555,4600447,1074574,2600001,5260342,2463719,463181,6892,1856383,1035814,709075,361725,4210483,2352976,1593487"
30170,"1235522,2317113,991769,1960625,509293,2896486,4363726,5041,2142446,1326209,2523793,448010,2486212,1918727,531550,3912373,5679028,316274,6034,2580687"
30780,"2455034,999574,463172,435265,853693,487021,3720946,6101,113763,246137,37177,118723,3469054,4268824,2531556,2425291,2365477,1902534,3706498,1033261"
31221,"2189924,2579670,1122588,1122607,5133061,186036,2340191,200487,1725380,3814018,31876,126927,1345763,4686493,716862,8467358,567105,1319281,715,481572"
31250,"122054,2236238,2287741,2300795,459282,2599190,2231328,722880,620361,625734,8378,454134,1858824,473795,2294752,1118435,498260,2254913,1836702,971769"
31451,"971586,2356559,2254200,693796,1100906,2053462,2168794,2577789,675671,568691,1235097,217236,2339774,395324,2287749,4007959,3508963,2377730,448170,4600747"
31581,"2150340,272573,211871,215815,447752,210474,38714,2323743,287221,32914,468306,31099,485332,520845,5228,4210483,2407015,716862,2303346,481572"
32070,"2344935,2465183,326658,1932068,2124031,445415,1367817,686465,646028,118528,1742704,314407,5321515,310062,305761,1581812,2460999,312341,1807908,5163778"
32471,"2081966,2233529,1339374,479039,190497,1071448,32273,308655,459818,276226,221043,874609,489005,247954,568079,1442680,459282,463181,2186305,579742"
32660,"867246,2300795,1918727,463181,2592020,446229,681470,658992,1299365,7804328,2424516,531001,305091,181149,361725,1101948,166554,998313,2580687,2141878"
34150,"2880550,1270359,2141951,2523793,867246,2300795,1918727,1609097,8467358,476483,1101948,2465924,8369,28302,1947821,220899,2214808,2541759,2141878,481572"
34481,"4018390,2131332,2486212,2300795,1918727,1726761,2407015,7804328,531001,2449615,531993,2209477,625734,1035814,361725,428685,2351675,1101948,2042862,23204"
34751,"1325745,18790,2295755,2473996,2523793,2575827,867246,2486212,716862,170357,1918727,28302,2407015,2636790,2465924,2351675,1947821,220899,2214808,1720918"
34781,"31479,28642,314889,1224472,178418,2362532,5810227,16215,316995,181225,2424768,314830,225988,314831,316527,5234152,475907,2380483,327253,425968"
36180,"511793,2409441,2614362,2131332,2463719,2486212,716862,126927,2318816,433856,2407015,6892,103890,1769545,305091,709075,1098150,971769,2352976,1214828"
36441,"320427,632089,1799031,2214811,1056685,2463719,2424516,485757,716862,709075,610508,473795,2209477,2351675,305091,828221,2294752,998313,1214828,2042862"
36540,"1847162,438783,2614362,535707,2600001,2599190,11936,2486212,2019613,2195786,306238,103890,428685,473795,166554,548039,971769,308364,1947821"
37171,"2188318,434500,220837,212216,18628,2300795,5679028,316274,253112,1798025,103890,8467358,1769545,320571,3217618,4783621,8369,5143300"
38191,"2518267,2588712,2276715,2606099,3442984,931198,1099092,2282999,2333501,963108,4251067,2309325,1344342,4559044,1969035,4186987,2431253,4020358,2531030,2463719"
38641,"2324419,102824,168663,99886,2603123,239373,1745216,2248720,2019613,681470,4707820,8467358,14534,4563736,305091,2303346,4210483,181149,8369,6209"
38761,"1523651,119763,2457907,2237611,2287749,3756355,476483,681470,1798025,5428,625734,716862,2209477,305091,2303346,1098150,1074594,2352976,2541759,1720918"
39311,"307596,1693894,2486212,2525634,308364,2019613,253112,490598,5428,306238,471857,3802522,473795,2303346,305091,2351675,2101235,2347744,4902,2141878"
39531,"1879164,1814735,657222,3956962,3276145,2334635,2238238,2425542,1842247,3728824,3744703,5156278,4673269,471255,1098387,1970364,2311644,2306843,2373843,5014975"
39791,"1298391,2277015,886017,476688,3714595,569925,1340374,1799031,1271808,2575023,1957553,2467103,3756355,2407015,2424516,103890,1240867,2294752,2352976,1214828"
42771,"2273648,2249952,434281,3762178,2273687,11623,31876,1856623,481572,476483,1634440,4645801,1035814,4676071,420807,8467358,1968152,25357,2541759,715"
44331,"325176,2473995,332,2252044,219553,697036,811226,269297,451173,203506,520845,2286863,2525634,2300795,5143948,745541,325509,625942,820259"
46211,"430615,1827664,282492,2289156,241455,2614362,2446042,2458413,2231328,2077927,1902534,681470,722880,2209477,2351675,305091,2294752,272375,181149,971769"
46571,"1817252,313514,2577789,208467,7083,6578959,901625,1241511,3763300,1380964,326221,478702,36125,284225,213574,4227847,2321956,4344994,4397893,3864898"
46690,"2282887,31876,11623,2356900,1462299,4596382,1798025,462670,1764339,716862,2209477,473795,2303346,1968152,2351675,1727705,1716595,715,481572,1720918"
46830,"3593485,2313030,2173497,2288797,4241299,7102447,1296115,2188258,317,2295424,126927,6892,428685,1037723,8369,181149,4742035,227782,516805,4192171"
48541,"3561457,2214811,1957553,1446974,2486212,2525634,716862,4393285,709075,2573241,2209477,4742296,722880,2524593,5994997,4025413,1118435,2351675,1098150,2254913"
48910,"314421,496381,2141893,1289825,1289826,880301,2141914,901494,2172589,1771445,492747,317914,830784,1852291,2466552,2602511,1117860,380766,944631,26808"
49331,"104900,851099,2249202,1271808,2463719,1121649,1727705,2077927,1035814,716862,103890,145975,98502,2209477,2351675,998313,2352976,1214828,321553,17761"
49511,"2249148,2290887,2212806,535707,220837,1079,2494167,18628,2424516,1035814,389215,454134,420807,428685,145975,181149,5679028,2352976"
49940,"2627,2386096,2249460,2348085,2523793,2216349,2467103,308364,2209477,1856383,2349719,454134,2465924,2303346,1240867,1385630,2214808,1947821,567105,2141878"
50081,"2215245,2295644,3593485,168799,480547,692712,3723760,2476564,2555490,2580409,1881560,261762,2260524,2478341,445699,1747999,2213219,3614500,3908218,3736495"
50311,"1236348,109613,1257072,2441836,2458413,126927,3113920,433856,2573241,1046376,4902,716862,103890,1035814,625734,1098150,2351675,114317,181149,1385630"
51031,"225238,2578149,2970211,6892,681470,317,485757,1856383,428685,420807,1118435,2303346,2294752,308364,4210483,1074594,1947821,5143300,2580687,220899"
51760,"556843,2247819,2388642,5168293,2388641,4347745,2424516,2186305,828221,2592020,253112,1858824,4528741,2209477,434096,8369,998313,2042862,321323,868187"
52220,"867246,437626,2486212,2300795,490598,1918727,308364,2303346,364144,2129220,4387381,716862,4606498,2294752,2347744,1074594,2349719,2141878,1385630,1720918"
52290,"214879,195678,122963,2370758,2327549,2145190,1241849,2290463,2473507,444270,2599190,531550,1043684,272375,1836702,2454485"
52291,"2575859,672384,19286,2388642,2388641,1806413,2599062,1360858,2356900,1902534,1121649,1757592,1806628,454134,389215,272375,2042862,321553"
53720,"497654,458446,6664,316346,2941609,220837,212216,18628,2300795,1918727,4686493,1858824,145975,2407015,2454485,625734,181149,1098150,2573241"
53801,"2571359,3248050,181062,4127287,4390105,308038,154,4183999,3892480,3889051,2214811,2486212,2525634,2573241,2424516,1121649,10480,8336450,428685,2347744"
56431,"892049,2435139,2927122,2186189,2362320,2145383,2579670,281919,841490,451458,2145221,1067412,4127287,248719,2855761,305413,181004,3767155,2212806,226126"
56450,"9567,3863911,489005,18790,1270359,2473996,2216349,2575827,867246,2300795,1918727,2186305,2407015,2465924,1240867,236632,454134,166554,2214808,1947821"
57160,"1765573,438811,3965272,526891,2300795,1918727,2295424,4709710,4786513,4873309,5055814,5004199,4688575,4871275,4873717,610508,1769545,2351675,473795,567105"
57190,"2312916,2880550,1806413,1271808,2286863,2463719,2186305,2295424,1785776,2077927,103890,389215,1858824,1046376,1806628,1037723,1074594,709075,2178756,321553"
57270,"3723760,2579670,1788490,3497968,2376061,2930398,2131332,2486212,576260,2209477,556919,1120910,625734,428685,1098150,2351675,2448177,2297476,325863,1329205"
58480,"308810,119518,1235985,1054635,2286461,2423399,365936,436305,4025416,2452711,260972,461441,531619,165652,4528741,502073,2576785,2401711,858433,4456168"
58760,"2473996,2523793,2575827,2300795,716862,1918727,2318816,2592020,2695946,2465924,6892,103890,454134,1240867,2294752,709075,1074594,272375,2214808,220899"
59261,"220797,2204724,2422126,3232549,489005,2407430,2231328,1726761,473795,33078,420807,180767,325374,1876718,242843,1968152,2349719,5679028,609758"
59280,"2344244,18790,2473996,1871112,2523793,986361,2216349,2575827,867246,170357,3026,2465924,485757,1726761,454134,2952271,1240867,166554,3273394,2214808"
59680,"2248252,20,2368325,962437,2694951,2286863,3756355,446229,620361,681470,1856383,7804328,103890,716862,454134,2294752,2466103,2101235,1074594,2141878"
59941,"3248050,1122607,30117,2300795,463181,2599190,6892,454134,1856383,1035814,1726761,2534924,473795,2214808,5679028,8369,1653700,2297476,481572"
60200,"310046,430839,4154878,826458,18628,554261,5220724,96964,2424257,2494167,459282,2364305,7804328,361725,2303346,2294752,434096,2580687"
60640,"4421068,18790,438783,2614362,2523793,2608564,170357,485757,1856383,428685,2465924,716862,2101235,971769,8369,998313,220899,2042862,1947821,321553"
61221,"17822,20413,23234,2534991,2256927,691377,187719,454134,2382577,316478"
61660,"2551746,2425308,2249202,1353581,1271808,1239169,1056685,1446974,2486212,433856,620361,2879047,709075,2524593,716862,2209477,1118435,2351675,2573241,1214828"
62191,"183248,689461,462710,2321956,485757,722880,1383813,454134,145975,1968152,8467358,2303346,181149,434096,481572,316274,25357,1385630,364144,17761"
62331,"244674,2388495,851918,104507,2131294,424356,17422,305447,30784,1894464,165447,818265,2332921,2972212,4337416,4400458,4412509,4763845,4881763,478862"
62411,"4127287,5228,2107,30117,11623,671011,6892,103890,5679028,1769545,316274,1273942,476483,5428,8369,1968152,1653700,536767,481572,17761"
62430,"2145791,319131,610760,484504,248926,323188,931342,2486212,2209477,216878,306238,323176,1035814,428685,2303346,181149,2101235,1074594,434096,1720918"
63201,"18790,2473996,2523793,1007643,2575827,867246,469587,317,1918727,2424516,485757,420807,4689457,5169220,2294752,253463,2214808,1947821,220899,2141878"
63651,"126927,1266045,2231328,1902534,485757,490598,1035814,2592020,166554,306238,1612347,473795,8467358,8369,181149,5143300,460012,2042862,321553,1273942"
63760,"1118443,1670299,1442680,2486212,3756355,2592020,531550,1609097,1858824,716862,1836702,473795,166554,2303346,181149,2254913,2448177,1214828,321553"
64030,"1738984,163858,1072853,397490,2579707,32858,2249353,175215,2913142,102515,1123314,955,2871904,3116707,2939854,2221788,4740859,5175001,202113,687810"
64131,"1932068,211871,15207,219741,7022,856994,1244867,2499124,2805259,1769924,467703,2254712,3782440,543576,3873358,4747273,5075707,4588942,4304989,1688524"
64240,"1281959,551740,2319569,4421068,2339774,545784,1281957,2370751,2600001,254097,531550,2310980,1858824,1876718,1037723,145975,2214808"
64350,"2580029,2199464,2573173,1421285,2486590,2053462,2242730,632633,4421068,2575023,4645804,4704760,4710517,716862,409522,4456168,8336450,2351675,2573241,1319281"
65501,"367617,220837,212216,18628,2370751,254097,2420390,2321956,2575827,867246,2300795,2186305,1856383,2465924,1769545,2254913,2214808"
65611,"691258,2391259,430759,2188578,2319060,566418,2466329,315087,176596,469320,35888,449431,1100855,1900041,1796985,35964,2468582,315080,1291293,1892268"
65850,"417970,1208914,1210137,1304930,1545820,2549358,2600001,2295424,2287749,1796985,1902534,722880,620361,1856383,2372666,1035814,1806628,34134,1101948,1876718"
66941,"2088040,1813477,838149,2753592,1796957,502420,2364500,2380345,449274,7102447,840112,2268174,18716,3170185,483465,959643,2590968,2590911,3419017,3916801"
67370,"850070,2577789,2334112,261762,2141900,99014,369816,3763300,2448594,526989,435925,2327394,2929999,319087,983038,3876415,3419017,830644,5814187,1184263"
68911,"1651678,1122585,2300795,459282,126927,1035814,681470,306238,170357,1856383,1726761,420807,389215,2303346,2294752,1118435,317,34134,5143300,220899"
68920,"768651,2214811,2486212,2300795,2525634,490598,420807,722880,1035814,103890,454134,428685,1769545,166554,1101948,305091,4593664,1098150,2347744,2214808"
69340,"924266,846648,488882,1729986,1350519,1353337,2614362,521832,2472725,680199,1229855,538999,196603,971769,2592020,306238,2407015,485757,2101235,998313"
69360,"1198693,2215214,2522356,1725442,2955475,228442,2446042,2294752,620361,306238,625734,2466103,473795,1037723,2347744,308364,1074594,28302,220899,2178756"
69440,"1862868,3262102,2573197,2573173,2483034,2129358,2600366,3959167,3766759,2133453,3878359,1197306,197848,2344515,1201840,1786158,2587281,3113920,2407015,2347744"
69450,"2443673,535707,1271808,2180196,1353581,2300795,434096,2195786,531550,709075,681470,2407015,1037723,8467358,4336117,2524593,1240867,2351675,998313,220899"
70401,"1117148,2236294,2219880,4241293,1074574,2614362,1199109,2486212,681470,1296128,5075707,3444913,716862,2209477,2449615,8369,971769,2573241"
72641,"2234272,880735,2610454,2601884,2320063,2230955,6338356,2881846,2555402,2546832,2377702,3100582,3919762,545784,36960,1876718,681470,716862,2079241,2220485"
72731,"305157,2324419,2484994,2312916,2548806,2213967,3693250,2132440,2334077,4173142,4005610,604877,3892507,2576730,2537847,473971,2713521,2570798,4421068,3782401"
73111,"6217021,2363618,753628,1271808,2463719,601691,768346,681470,389215,6892,473795,5143300,1858824,1035814,145975,1118435,3832351,4148944"
73330,"273610,2571722,2374768,2232348,2261392,2553756,3766759,39666,2261390,474322,253898,3561412,3827554,852273,1905107,1919822,2762412,897266,3614125,746704"
73600,"2287669,2463176,6841975,2147637,722868,843962,2139170,2189574,6326923,1071268,2356546,1239524,2530524,2855425,879227,729387,2528301,4321345,2476663,4021843"
73711,"38040,305013,2249202,1271808,2563979,2214811,2463719,2295424,3113920,433856,681470,722880,2525634,4542556,2209477,2351675,1037723,2294752"
73870,"2463962,1449648,5806756,2379471,3959167,4177156,1229855,2309527,1446974,709075,2592020,722880,4268815,428685,4885036,498218,3442753,610508,2209477,2351675"
73920,"2599190,2420390,446229,2019613,2195786,1785776,2364305,681470,1121649,1858824,4305253,627330,166554,2524593,272375,1037723,8369,2294752,2347744,308364"
74870,"20463,2997640,690802,1202451,523819,687894,20169,189796,233184,1107105,15148,463181,3756355,1902534,2129220,145975,4210483,166554"
75021,"313787,2468588,443649,2486212,2295424,2599190,433856,196603,5428,4285345,202555,1856383,2449615,716862,625734,2209477,420807,8369,25357,481572"
75880,"2466668,2195515,2600001,680199,634493,2370751,2286863,11936,463181,2759493,2592020,1856383,2534924,1035814,1118435,2254913,2352976,1385630"
76800,"2341451,1120962,308655,3912937,438783,197848,535707,1828235,1271808,2463719,2587281,2459218,2592020,1035814,130903,1118435,23424,998313,2178756,868187"
77100,"2339679,289404,211871,2854540,695,308569,1726328,686465,4171597,210085,496089,2419047,569244,2309718,113136,102747,2459164,459584,509482,3156373"
77120,"955202,2486500,2292891,2030371,1360231,1342771,2805259,2896486,4370989,2344515,2391765,1446974,2407015,2525634,716862,4727572,2524593,2209477,2573241,2351675"
77281,"430759,2214811,2391765,2486212,463181,3113920,1609097,2407015,681470,2525634,2524593,716862,2209477,1037723,2294752,2351675,272375,434096,308364"
77571,"719748,2388642,573666,2388641,3534874,433856,126927,2077927,828221,103890,389215,420807,1240867,709075,1118435,5679028,2294752,8369,998313"
78421,"36206,685915,1300900,443570,1215868,2142446,33078,7804328,317,8467358,8369,2254913,5143300,23204,800684"
79001,"2381501,2332590,2229477,2251771,2469397,2854876,2486212,2295424,2599190,2759493,3113920,2407015,2236959,5029678,4231300,2209477,1037723,1118435,2351675,2573241"
79211,"380428,1291235,2556541,2252334,3232549,2286863,2486212,2356900,681470,2221728,1798025,1856383,2260285,716862,608230,1037723,2347744,308364,8369,2141878"
79561,"1071448,501164,3912937,374583,1828235,1266045,5220724,446229,2186305,531550,389215,420807,186099,272375,166554,2303346,305091,1074594,1612347,2042862"
81510,"2531639,2186189,2462198,33605,2182987,16582,2314268,6540,2175863,1202118,2182093,461591,2577789,709360,372749,114258,1869690,635239,3758968,4150846"
83611,"2076390,166031,464889,2375878,37177,2614362,21324,992507,410990,1726761,1035814,6609733,2297476,1769545,1118435,272375,5143300,1727705,2349719,1593487"
83670,"2133453,1670299,2214811,2427627,2473507,2458413,463181,446229,2407015,4398385,2525634,1836702,2485599,1118435,181149,8467358,2042862,2448177"
84440,"16660,113763,37177,1670299,2473507,2295424,1836702,1727705,2129220,2101235,2352976,2448177"
84661,"1071448,2450746,220837,212216,2259490,2599190,1828235,1229855,2019613,1266045,531550,681470,186099,103890,389215,166554,272375,1074594"
85771,"2254200,2425171,186343,2854540,20413,26276,1376046,1774108,1313472,165529,2113879,2232342,2311694,854525,3986770,4763704,2605502,3843613,2524837,430490"
86310,"1675658,253863,2145939,2368325,470395,2486212,2295424,2459218,2186305,454134,145975,103890,1035814,272375,1332296,308364,2454485,434096,253112,2141878"
86360,"471655,2189558,208557,1552688,2533501,907401,313590,268148,1621599,2590119,504200,3106303,2286863,1446974,2600001,2407015,1037723,2209477,1118435,2351675"
86440,"1364209,2372143,1990404,3469015,1056685,2286863,2486212,2300795,1918727,2356900,2592020,531550,1240867,2525634,2524593,103890,2534924,1098150,1037723,2214808"
86801,"451029,693236,31099,2214811,1796985,2486212,2300795,1918727,2371625,428685,2525634,4268899,716862,889590,2573241,166554,2101235,272375,2214808,25357"
87391,"2525028,2232342,2212806,3190060,2370751,2420390,254097,2186305,620361,4625566,1462299,4665730,4199245,1726761,4599862,2534924,145975,473795,305091,1098150"
88001,"2443673,535707,2486212,2318816,1462299,722880,306238,1121649,1037723,145975,1769545,2101235,2347744,1350395,851032,2352976,2378781,308364,998313,1214828"
89000,"2473996,2523793,2446042,2600001,2575827,2300795,11936,1918727,1785776,1121649,1769545,166554,2294752,1240867,4574755,610508,434096,2352976,2042862,2214808"
89060,"958744,2588406,991769,2351211,1702280,2217790,2364500,3784666,2473078,2551876,608894,655643,2141951,1360858,196603,3458644,716862,1037723,2573241,308364"
89100,"1930294,1766441,287299,2530551,2424823,2336691,5806756,464889,2524340,2198457,3138100,3110293,2335450,4158526,4350955,5040679,2999419,4187392,3762766,155386"
89870,"2575023,1957553,2450614,2131332,1446974,2486212,899688,170357,34134,1918727,4396279,448508,722880,2209477,2449615,428685,389215,1098150,2573241,2214808"
90580,"2550423,2214811,822326,3113920,2587281,1796985,2459218,2525634,317,2424516,2452390,2541759,2407015,454134,2524593,2209477,361725,1037723,2351675,434096"
90671,"4341919,2315422,3756355,126927,2599190,2759493,5089333,5231413,7214353,716862,428685,103890,2209477,2352976,473795,28302,181149,272375,2347744,2541759"
90680,"102824,1811855,1670299,2473507,2458413,1360858,2019613,196603,1785776,2518597,625734,1858824,709075,1118435,2351675,272375,2448177"
91290,"436172,3465649,9427,3174526,2210751,480866,1853413,320525,117264,3956962,424356,2256249,222369,3905386,2382709,529824,569925,467221,96964,2610570"
91640,"2463590,1325745,2300795,1360858,2287749,2077927,196603,2599190,446229,315927,2407015,1785776,1798025,722880,6892,170357,361725,181149,2214808"
91981,"2579670,2388642,438783,2614362,2388641,3534874,126927,1918727,716862,1858824,2186305,971769,1785776,321553,221096,305091,181149,2101235,2042862,868187"
92161,"417451,584,199275,27661,468013,2599190,1856383,145975,103890,1612347,420807,5428,2209477,181149,971769"
92521,"2088040,2532419,1930356,3182068,2354390,313467,2238737,2579670,1836656,2348050,3956962,1791284,604877,2249354,2335074,2452527,2935951,3448543,1785170,2486053"
92651,"4390105,198804,2458413,681470,166554,1035814,239710,722880,246037,246038,716862,145975,103890,2209477,8467358,181149,2454485"
93661,"2102324,98359,671011,2486212,2525634,716862,317,2573241,1350395,490598,420807,305091,1098150,2351675,2347744,2101235,1214828,1720918"
94140,"168799,3465649,1110393,315289,884281,3174526,4127287,2425308,2233761,311607,2198457,2578023,2651644,4300483,2241291,120035,37478,132157,2488726,2301484"
94270,"1763962,2579670,2474458,2580260,2600883,3982099,287648,2608550,4629616,5311630,2278636,2300795,1609097,681470,5075125,5239492,2524593,610815,145975,2214808"
95300,"1138929,1300900,272223,449274,463181,33078,2077927,1035814,716862,475593,8467358,8369,2254913,800684,17761,1720918"
95750,"2080597,1339825,1825813,2145939,1128716,197848,2486212,2370751,2600001,254097,1902534,4702417,2209477,625734,2534924,428685,25357"
96270,"327556,894871,691258,3174526,2139170,1724836,4257361,2429121,2550423,2379463,3116707,4400638,8481653,2477640,3706999,4826380,4570090,4741888,4776292"
96501,"171255,2291710,2473507,2446042,2286863,126927,2424516,306238,2372666,1858824,1726761,2466103,1836702,1350395,1769545,473795,2347744,28302,434096"
96571,"2405353,1720302,443493,4177156,220837,212216,826458,218833,615897,2426684,305091,2101235,8369,1074594,364144,25357,715"
96710,"2358,408094,310455,402609,1848808,1128716,2145939,931342,531550,2452390,722880,420807,454134,625734,8467358,305091,536767"
97110,"287299,1956493,2111312,16660,327387,2075567,115387,1379197,3462172,436798,2244797,451180,1227099,2467779,166535,2348043,317577,1499,1097751,2303346"
97211,"1123448,3229138,440406,2146606,4018180,2362532,1871471,2350673,2186276,2182696,2131294,3956962,2579707,2141955,2528326,4019920,1341878,2805259,449642,20027"
97381,"2401443,977650,1117823,2362320,2319111,2376005,1256990,1839912,1990404,1968315,2528002,1141199,18628,2379664,2770245,5220724,2599190,531550,2448177"
97460,"2295644,2531639,102824,2905483,2204362,4018180,2254200,476688,2587259,1352957,1321822,2141974,1892427,3956962,308655,2283396,2577789,2541755,463899,985854"
97470,"200343,2259490,826458,1799031,2486212,2356900,709075,2573241,531550,1726761,625734,428685,4536235,166554,1098150,998313,2448177,2062812,321553"
97681,"448990,3248050,2455034,1722245,4390105,2340191,2205090,1072095,1270284,545784,18790,1326209,2300795,1918727,1876718,1726761,420807,493008,1679042"
98720,"2254200,1244038,460215,632196,2463719,2186305,1796985,433856,2592020,1350395,828221,10480,709075,2372666,4247497,305091,2347744,2351675,998313"
